interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;0.00;-1.00;e1_0;-1.00;0;0;0.00;-1.00
30.00;60.00;1440.00;20.16;e1_0;2.50;12;12;4.96;20.21
60.00;90.00;1200.00;15.68;e1_0;2.50;10;10;5.31;16.49
90.00;120.00;480.00;0.78;e1_0;2.50;4;5;44.51;4.03
120.00;150.00;2040.00;8.18;e1_0;2.50;17;17;16.16;8.70
150.00;180.00;600.00;5.96;e1_0;2.50;5;5;47.34;7.02
180.00;210.00;240.00;0.13;e1_0;2.50;2;1;84.90;1.42
210.00;240.00;2040.00;9.06;e1_0;2.50;17;17;15.63;9.51
240.00;270.00;600.00;4.10;e1_0;2.50;5;6;56.59;5.52
270.00;300.00;240.00;0.13;e1_0;2.50;2;2;84.78;2.04
0.00;300.00;240.00;10.11;e1_3;2.50;20;20;1.65;13.29
300.00;330.00;1200.00;2.09;e1_0;2.50;10;9;38.28;7.16
330.00;360.00;960.00;2.89;e1_0;2.50;8;8;23.08;3.96
360.00;390.00;120.00;0.10;e1_0;2.50;1;1;83.75;0.10
390.00;420.00;0.00;-1.00;e1_0;-1.00;0;1;97.70;-1.00
420.00;450.00;120.00;0.08;e1_0;2.50;1;0;10.72;0.08
450.00;480.00;0.00;-1.00;e1_0;-1.00;0;1;84.11;-1.00
480.00;510.00;120.00;0.05;e1_0;2.50;1;0;90.37;0.05
510.00;540.00;0.00;-1.00;e1_0;-1.00;0;1;83.51;-1.00
540.00;570.00;120.00;0.05;e1_0;2.50;1;1;85.31;0.05
570.00;600.00;360.00;0.93;e1_0;2.50;3;2;26.00;1.45
300.00;600.00;348.00;4.77;e1_3;2.50;29;29;5.06;8.22
600.00;614.00;514.29;0.63;e1_0;2.50;2;2;56.44;1.52
600.00;614.00;0.00;-1.00;e1_3;-1.00;0;0;0.00;-1.00
0.00;614.00;457.33;1.00;e1_1;3.85;78;78;59.07;8.19
0.00;614.00;322.48;7.42;e1_4;2.50;55;55;3.02;10.67
0.00;614.00;697.72;5.06;e1_5;2.50;119;119;9.57;9.92
0.00;614.00;181.76;0.46;e1_6;2.50;31;31;27.66;5.13
0.00;614.00;199.35;3.36;e1_7;2.50;34;34;4.12;9.34
