Step,Intersection,Total Cars,Waiting Cars,Average Speed,Waiting Time
1.0,tlshoria_square1,0,0,22.22,0.0
1.0,tlshoria_square2,0,0,22.22,0.0
1.0,tlshoria_square3,0,0,22.22,0.0
1.0,tlslasilky_square,0,0,27.78,0.0
1.0,tlslasilky_square2,0,0,27.78,0.0
1.0,tlslasilky_square3,0,0,27.78,0.0
1.0,tlsmoomen,0,0,22.22,0.0
1.0,tlsmoomen2,0,0,25.0,0.0
1.0,tlsmoomen3,0,0,25.93,0.0
1.0,tlsnasser_square,0,0,20.82,0.0
2.0,tlshoria_square1,0,0,22.22,0.0
2.0,tlshoria_square2,0,0,22.22,0.0
2.0,tlshoria_square3,0,0,22.22,0.0
2.0,tlslasilky_square,0,0,27.78,0.0
2.0,tlslasilky_square2,0,0,27.78,0.0
2.0,tlslasilky_square3,0,0,27.78,0.0
2.0,tlsmoomen,0,0,22.22,0.0
2.0,tlsmoomen2,0,0,25.0,0.0
2.0,tlsmoomen3,0,0,25.93,0.0
2.0,tlsnasser_square,0,0,20.82,0.0
3.0,tlshoria_square1,0,0,22.22,0.0
3.0,tlshoria_square2,0,0,22.22,0.0
3.0,tlshoria_square3,0,0,22.22,0.0
3.0,tlslasilky_square,0,0,27.78,0.0
3.0,tlslasilky_square2,0,0,27.78,0.0
3.0,tlslasilky_square3,0,0,27.78,0.0
3.0,tlsmoomen,0,0,22.22,0.0
3.0,tlsmoomen2,0,0,25.0,0.0
3.0,tlsmoomen3,0,0,25.93,0.0
3.0,tlsnasser_square,0,0,20.82,0.0
4.0,tlshoria_square1,0,0,22.22,0.0
4.0,tlshoria_square2,0,0,22.22,0.0
4.0,tlshoria_square3,0,0,22.22,0.0
4.0,tlslasilky_square,0,0,27.78,0.0
4.0,tlslasilky_square2,0,0,27.78,0.0
4.0,tlslasilky_square3,0,0,27.78,0.0
4.0,tlsmoomen,0,0,22.22,0.0
4.0,tlsmoomen2,0,0,25.0,0.0
4.0,tlsmoomen3,0,0,25.93,0.0
4.0,tlsnasser_square,0,0,20.82,0.0
5.0,tlshoria_square1,0,0,22.22,0.0
5.0,tlshoria_square2,0,0,22.22,0.0
5.0,tlshoria_square3,0,0,22.22,0.0
